R,G,B,Label
18,19,28,5
13,15,22,5
14,18,26,5
15,16,25,5
15,16,23,5
230,230,230,6
202,207,208,6
201,203,202,6
216,221,224,6
227,231,234,6
74,110,159,2
73,110,161,2
63,117,176,2
53,120,182,2
51,119,182,2
113,61,57,1
92,34,38,1
142,74,76,1
109,55,56,1
129,72,69,1
84,115,98,3
104,117,116,3
104,128,118,3
146,156,156,3
105,132,110,3
20,70,146,2
19,69,144,2
20,70,145,2
16,66,141,2
20,71,143,2
177,151,97,4
174,154,104,4
176,145,91,4
169,146,99,4
174,154,103,4
17,23,30,5
21,25,33,5
20,26,34,5
16,17,26,5
16,20,28,5
238,237,228,6
247,246,237,6
230,233,236,6
225,229,231,6
179,183,189,6
209,211,211,7
212,214,216,7
211,214,213,7
207,209,209,7
212,214,216,7
18,22,33,5
20,23,32,5
21,25,34,5
18,22,30,5
18,23,30,5
20,23,33,5
17,21,29,5
16,21,29,5
17,21,29,5
17,21,29,5
17,21,29,5
16,20,30,5
16,20,31,5
18,22,30,5
18,21,29,5
18,22,30,5
13,21,28,5
16,19,27,5
14,18,26,5
16,17,26,5
18,24,32,5
18,22,35,5
15,19,27,5
17,21,29,5
16,20,28,5
16,19,27,5
13,19,27,5
16,22,29,5
15,18,31,5
15,19,27,5
15,19,27,5
234,239,237,6
236,238,237,6
236,238,237,6
233,237,236,6
236,241,240,6
234,239,237,6
236,238,237,6
237,239,239,6
237,239,239,6
237,239,240,6
244,246,248,6
247,249,251,6
246,248,250,6
244,245,245,6
245,250,251,6
243,249,250,6
245,250,251,6
246,251,252,6
244,250,251,6
247,251,252,6
245,250,251,6
245,250,251,6
244,250,251,6
248,251,252,6
248,251,252,6
245,250,251,6
244,250,251,6
244,250,251,6
239,241,243,6
205,207,209,7
202,207,208,7
204,206,208,7
204,207,206,7
204,207,206,7
202,207,208,7
204,206,208,7
204,206,208,7
204,206,208,7
204,206,208,7
203,205,205,7
202,204,206,7
211,214,213,7
209,211,213,7
222,224,225,7
222,225,227,7
222,224,225,7
215,220,221,7
215,220,221,7
214,219,220,7
216,221,224,7
220,224,225,7
219,223,226,7
219,223,226,7
219,224,228,7
221,223,224,7
218,222,225,7
215,219,223,7
216,221,224,7
215,220,221,7
158,76,72,1
157,74,74,1
162,139,143,1
156,67,56,1
148,73,63,1
142,110,104,1
163,92,90,1
157,66,59,1
157,63,56,1
139,99,88,1
158,63,55,1
160,71,66,1
155,100,101,1
153,60,52,1
154,70,64,1
137,126,124,1
151,60,54,1
151,59,50,1
149,61,49,1
150,58,49,1
152,57,49,1
150,78,76,1
153,58,50,1
151,56,48,1
147,74,70,1
152,57,49,1
150,59,50,1
151,59,48,1
137,133,134,1
140,97,95,1
141,92,80,1
140,80,69,1
150,59,50,1
22,75,147,2
24,76,148,2
21,76,147,2
24,76,148,2
24,77,148,2
24,77,147,2
25,77,147,2
28,83,154,2
25,81,152,2
23,79,150,2
22,78,149,2
23,78,149,2
23,77,150,2
21,77,149,2
21,77,149,2
26,78,145,2
26,79,146,2
28,78,144,2
45,84,134,2
40,82,137,2
26,78,146,2
43,82,137,2
41,81,137,2
41,80,136,2
92,107,133,2
23,78,145,2
30,78,141,2
74,100,132,2
73,97,129,2
19,74,146,2
24,74,145,2
21,75,147,2
19,74,146,2
19,74,146,2
22,73,144,2
16,73,147,2
16,73,147,2
185,158,101,4
188,160,105,4
188,159,99,4
188,159,100,4
186,159,101,4
187,160,102,4
175,156,115,4
187,154,100,4
183,153,101,4
186,157,102,4
185,160,107,4
183,157,101,4
185,156,99,4
188,157,98,4
187,156,99,4
186,155,96,4
185,155,101,4
184,155,100,4
185,156,99,4
180,154,103,4
185,156,103,4
186,158,96,4
185,156,99,4
185,161,102,4
188,157,98,4
189,155,99,4
189,154,91,4
192,158,97,4
191,156,97,4
191,158,99,4
187,158,111,4
185,157,109,4
192,155,88,4
151,134,112,4
153,135,112,4
179,151,105,4
176,150,111,4
182,153,98,4
188,152,88,4
187,152,87,4
93,121,110,3
82,107,96,3
81,106,94,3
81,106,94,3
85,109,103,3
83,107,96,3
86,107,100,3
113,125,132,3
100,116,118,3
87,110,105,3
87,110,104,3
83,109,100,3
83,109,95,3
88,111,106,3
87,112,104,3
91,115,102,3
104,125,113,3
88,113,101,3
118,129,135,3
86,112,99,3
88,112,102,3
85,111,98,3
86,112,99,3
86,112,99,3
88,112,99,3
87,111,98,3
85,111,98,3
86,112,99,3
88,112,99,3
87,113,103,3
94,115,113,3
88,113,106,3
93,116,110,3
